"Date","October-20-2023"
"Time","17h23m38s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",1
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",1.499999e-02
"Number of Measurements",1024
"Record Rate",8
"Record Time [s]",1.228799e+02
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
1.271999e+01,-4.805650e-01,8.640078e-01,-1.501594e-01,5.954150e+01,-4.318081e+00,2.597175e-01,-9.859187e+00,1.350072e+00,-2.125971e+01,7.482201e-06,
1.283999e+01,-4.790437e-01,8.653218e-01,-1.474288e-01,5.948450e+01,-4.238976e+00,2.604781e-01,-9.668903e+00,1.357724e+00,-2.125945e+01,7.482638e-06,
1.295999e+01,-4.751803e-01,8.661245e-01,-1.550224e-01,5.937521e+01,-4.459049e+00,2.624099e-01,-1.014758e+01,1.346504e+00,-2.125942e+01,7.482691e-06,
1.307999e+01,-4.770622e-01,8.648741e-01,-1.562194e-01,5.944051e+01,-4.493762e+00,2.614689e-01,-1.023875e+01,1.358628e+00,-2.126036e+01,7.481081e-06,
1.319999e+01,-4.708985e-01,8.680141e-01,-1.574996e-01,5.923994e+01,-4.530898e+00,2.645508e-01,-1.028433e+01,1.353041e+00,-2.126005e+01,7.481604e-06,
1.331999e+01,-4.730670e-01,8.671564e-01,-1.557156e-01,5.930708e+01,-4.479149e+00,2.634665e-01,-1.018013e+01,1.350299e+00,-2.125931e+01,7.482890e-06,
1.343999e+01,-4.754394e-01,8.670742e-01,-1.487940e-01,5.936855e+01,-4.278522e+00,2.622803e-01,-9.737382e+00,1.357615e+00,-2.125989e+01,7.481884e-06,
1.355999e+01,-4.725729e-01,8.680379e-01,-1.522668e-01,5.928227e+01,-4.379158e+00,2.637136e-01,-9.949313e+00,1.350132e+00,-2.126054e+01,7.480770e-06,
1.367999e+01,-4.727512e-01,8.669248e-01,-1.579483e-01,5.930225e+01,-4.543914e+00,2.636244e-01,-1.032568e+01,1.356529e+00,-2.126063e+01,7.480612e-06,
1.379999e+01,-4.769367e-01,8.654008e-01,-1.536647e-01,5.942994e+01,-4.419682e+00,2.615317e-01,-1.006877e+01,1.348964e+00,-2.126132e+01,7.479430e-06,
1.391999e+01,-4.802428e-01,8.643867e-01,-1.490047e-01,5.952801e+01,-4.284627e+00,2.598786e-01,-9.780640e+00,1.358691e+00,-2.126071e+01,7.480475e-06,
1.403999e+01,-4.743263e-01,8.674936e-01,-1.498980e-01,5.933443e+01,-4.310509e+00,2.628369e-01,-9.803583e+00,1.353099e+00,-2.126019e+01,7.481374e-06,
1.415999e+01,-4.708254e-01,8.678811e-01,-1.584485e-01,5.923991e+01,-4.558425e+00,2.645873e-01,-1.034650e+01,1.353295e+00,-2.125955e+01,7.482462e-06,
1.427999e+01,-4.697184e-01,8.691179e-01,-1.549151e-01,5.919460e+01,-4.455937e+00,2.651408e-01,-1.010650e+01,1.354872e+00,-2.125911e+01,7.483235e-06,
